,fold,role,familiarity,test set size,hit number,HR,model type,MAE
0,,,,,,1.0,LC,0.5104795081003958
1,,,,,,0.3038461538461539,LC,0.9158503831616215
2,,,,,,0.6703296703296704,LC,0.7190588237247328
3,,,,,,0.5625,LC,0.8273401394030073
4,,,,,,0.40909090909090906,LC,0.7229208849304204
5,,,,,,0.6,LC,0.9574114051074972
6,,,,,,0.75,LC,0.6462302424627436
7,,,,,,0.5357142857142857,LC,0.817446858092354
8,,,,,,0.6706349206349207,LC,0.6845426437631565
9,,,,,,0.4879807692307692,LC,0.7677150956885452
10,,,,,,0.5555555555555556,LC,0.7923872405980783
11,,,,,,0.4,LC,0.824214754870663
12,,,,,,0.9333333333333333,LC,0.5039882315981368
13,,,,,,0.3142857142857143,LC,1.165038037162201
14,,,,,,0.5128205128205128,LC,0.7071553418971932
15,,,,,,0.43636363636363634,LC,0.8696479887628185
16,,,,,,0.5625,LC,0.7858552018394602
17,,,,11.5,,0.3307692307692308,GP,0.9361107827219644
18,,,,13.5,,0.5164835164835165,GP,0.862974645021507
19,,,,11.0,,0.6363636363636364,GP,0.8433758873962662
20,,,,8.0,,0.625,GP,0.8564278967799105
21,,,,8.5,,0.41428571428571426,GP,0.9853383301676122
22,,,,13.0,,0.5030303030303029,GP,0.8996009465560172
23,,,,8.5,,0.5571428571428572,GP,0.8973461677484692
24,,,,10.5,,0.42727272727272725,GP,0.9373770894975164
25,,,,10.0,,0.5833333333333333,GP,0.8989286838700149
26,,,,,,0.7083333333333333,RF,
27,,,,,,0.9230769230769231,RF,
28,,,,,,0.8516483516483516,RF,
29,,,,,,0.875,RF,
30,,,,,,0.6818181818181819,RF,
31,,,,,,0.2,RF,
32,,,,,,0.625,RF,
33,,,,,,0.5571428571428572,RF,
34,,,,,,0.4920634920634921,RF,
35,,,,,,0.8990384615384617,RF,
36,,,,,,0.7083333333333333,RF,
37,,,,,,0.6,RF,
38,,,,,,0.9333333333333333,RF,
39,,,,,,0.6071428571428572,RF,
40,,,,,,0.7905982905982906,RF,
41,,,,,,0.7227272727272727,RF,
42,,,,,,0.6666666666666667,RF,
43,,,,,,1.0,SVM,
44,,,,,,0.3038461538461539,SVM,
45,,,,,,0.8543956043956045,SVM,
46,,,,,,0.875,SVM,
47,,,,,,0.5909090909090908,SVM,
48,,,,,,0.2,SVM,
49,,,,,,0.75,SVM,
50,,,,,,0.8285714285714285,SVM,
51,,,,,,0.30952380952380953,SVM,
52,,,,,,0.8052884615384617,SVM,
53,,,,,,0.8055555555555556,SVM,
54,,,,,,0.6,SVM,
55,,,,,,0.9,SVM,
56,,,,,,0.4857142857142857,SVM,
57,,,,,,0.6581196581196581,SVM,
58,,,,,,0.8181818181818181,SVM,
59,,,,,,0.6041666666666667,SVM,
60,,,,,,0.4375,Proposed,2.213422927514662
61,,,,,,0.8730769230769231,Proposed,1.4208864472733538
62,,,,,,0.9285714285714286,Proposed,1.2382948980124453
63,,,,,,0.8125,Proposed,1.1893709147918927
64,,,,,,0.9090909090909092,Proposed,1.1609648130292023
65,,,,,,0.8,Proposed,1.6742676130718717
66,,,,,,0.875,Proposed,1.0201009551013849
67,,,,,,0.8785714285714286,Proposed,1.3533788763305825
68,,,,,,0.7817460317460317,Proposed,1.1378436919243444
69,,,,,,0.8605769230769231,Proposed,1.1865551849896336
70,,,,,,0.8055555555555556,Proposed,1.2480635280343781
71,,,,,,0.6,Proposed,1.9039615005579824
72,,,,,,0.8545454545454546,Proposed,1.446652649568496
73,,,,,,0.7071428571428571,Proposed,1.6060865577965264
74,,,,,,0.7735042735042735,Proposed,1.2463842526012587
75,,,,,,0.8590909090909091,Proposed,1.3897134816814205
76,,,,,,0.6041666666666667,Proposed,1.7951312708950873
