learning_rate,HR,MAE,nDCG
0.001,0.6914629904935489,0.6618884290532511,0.764179767069948
0.002,0.6835218140229606,0.6558580793662342,0.7582599501194661
0.003,0.7100155034527554,0.637193792569058,0.7858070154041501
0.004,0.725804405220359,0.6313278194204325,0.7946495855468482
0.005,0.7369905905698303,0.6218998350317172,0.8051339046612499
0.006,0.7254494356463225,0.6289409749471541,0.7902628440077445
0.007,0.7258283670597366,0.6255995555558583,0.7927653623726346
0.008,0.7244340294838575,0.6302686805055822,0.7985401854407647
0.009000000000000001,0.7372246364428214,0.6221578793665052,0.8091651748544071
0.010000000000000002,0.7522671919265533,0.6204536380262539,0.8156152813318945
0.011,0.7436887605540042,0.6219807120655622,0.8098191252582947
0.012,0.7487179296044717,0.6266957387814498,0.8127999351141318
0.013000000000000001,0.737011301772083,0.6310888178766646,0.8070977369520972
0.014000000000000002,0.7406339046593918,0.6182970907342734,0.8117883851562925
0.015,0.7483456232991025,0.6200555034439255,0.8150250346463213
0.016,0.7320554732868428,0.6271515489635227,0.8015467478628174
0.017,0.7410492432086047,0.6232549676591753,0.8035900334258065
0.018000000000000002,0.7392769958481219,0.6248778949948407,0.8023562360476019
0.019000000000000003,0.7425731418927468,0.626459421560812,0.8056157769568131
0.02,0.7466299370245926,0.622613221652965,0.8093178817203164
0.021,0.7355293208276276,0.6257925450060647,0.8022821956976081
0.022000000000000002,0.7395613182419779,0.6225690252749345,0.8024789311272941
0.023,0.7258247758796749,0.6297284780885678,0.7912346907856591
0.024,0.745613354441073,0.6258983481555922,0.80986178724702
0.025,0.7417593990658193,0.6286282739878963,0.8029647652084856
0.026000000000000002,0.7518901180200677,0.6283866761700037,0.8041316063609419
0.027000000000000003,0.7499293337063422,0.636071213501874,0.8075584006526898
0.028,0.7531656114950498,0.629197332541153,0.806927600269105
0.029,0.740747310841455,0.6433323730103224,0.7907514720588057
0.030000000000000002,0.7387365232488259,0.6467253289437952,0.7951717935167212
0.031,0.7384803730433855,0.6443823412519025,0.7961784996263701
0.032,0.7457048490406812,0.6334145169402872,0.8072009512228039
0.033,0.7468216123569329,0.6360067421986179,0.8034508010539861
0.034,0.744266940543949,0.6289864655962345,0.8101226311256193
0.035,0.7378968062833482,0.6316545385582237,0.8030407870305267
0.036000000000000004,0.7575273729220287,0.6325538777125698,0.811460468341192
0.037000000000000005,0.7595114999061556,0.635414455439686,0.8100727360182185
0.038,0.7502953554466034,0.6406114744698773,0.8086033104356866
0.039,0.7474217922282125,0.6321026040576809,0.8068400202477201
0.04,0.7432626538486843,0.6450118617110023,0.7984070524839239
0.041,0.7339159831848782,0.6406749031143093,0.7943134728261046
0.042,0.7377807174843951,0.6345043907444826,0.7994359194867613
0.043000000000000003,0.732209553486562,0.6361358217082624,0.8003620837164004
0.044000000000000004,0.7220112212801162,0.6378364446131535,0.7929453265769961
0.045,0.7317918001783422,0.6447455825266829,0.7959697580653547
0.046,0.7334257871064469,0.6454547136647644,0.7966685493820944
