learning_rate,HR,MAE,nDCG
0.001,0.7129151426086004,0.6677451666776694,0.7742220318051636
0.002,0.730759197405416,0.6565521595148911,0.7923583854397516
0.003,0.74122188050237,0.6561702866912651,0.7937143407924689
0.004,0.746644474376521,0.6404333469236035,0.8037550384376201
0.005,0.7412266067463771,0.6416632577230886,0.7991427988116703
0.006,0.7412266067463771,0.6399779827411163,0.7991427988116703
0.007,0.7410763550748272,0.6364109398007085,0.7955613329473351
0.008,0.7299707363567518,0.62874750202501,0.7821812879441805
0.009000000000000001,0.7584433018535387,0.6429980915746645,0.8103458433087312
0.010000000000000002,0.7584433018535387,0.6434629915848783,0.8103458433087312
0.011,0.7635631275615997,0.6424263058125425,0.814704359356132
0.012,0.761244422301718,0.6421204784977398,0.809636377010689
0.013000000000000001,0.7571319019620172,0.6407061252786393,0.8092294464238222
0.014000000000000002,0.7551035043960942,0.6461842590549005,0.8080755436403926
0.015,0.7563850627710783,0.6451046422391297,0.7996755892113135
0.016,0.7611212567655843,0.645253108332981,0.8066077930044716
0.017,0.7701837052743995,0.6343378107864783,0.8155226543493379
0.018000000000000002,0.7661943504708324,0.6360301931588509,0.8131037680798348
0.019000000000000003,0.7696545580832892,0.6405276609247244,0.8169987145239813
0.02,0.7712363672775551,0.6326309749171551,0.8181183664395155
0.021,0.7636368057137991,0.6440272085874577,0.8116488471789888
0.022000000000000002,0.7691978536623905,0.6346978178231372,0.8154057184082909
0.023,0.7697270008535009,0.634526062923727,0.8158561822825318
0.024,0.7602490408715541,0.639617255828734,0.8102816433028065
0.025,0.7665341729201884,0.6334772556502033,0.8175957911458245
0.026000000000000002,0.7713708111327858,0.6304560089450912,0.8133647739305571
0.027000000000000003,0.7697508048414993,0.6340412984217406,0.8196117940338202
0.028,0.7716381908119301,0.6312390433576778,0.8119880280335827
0.029,0.775098398424387,0.6234561600396953,0.8147539617319159
0.030000000000000002,0.7828876103658481,0.625454347512943,0.8240511356470523
0.031,0.7794327688845178,0.6346995217430912,0.8207976354293229
0.032,0.7701106325670557,0.6332783214972423,0.8110069977675805
0.033,0.7721390301329787,0.631016236896447,0.8137110339894447
0.034,0.7743176793704515,0.6329816859575245,0.8145884636319157
0.035,0.7763407108052477,0.6267132437354044,0.8162015416744842
0.036000000000000004,0.7795036698505597,0.6250034499404102,0.8185817859313866
0.037000000000000005,0.7690901758730517,0.6283025100348663,0.8111155393425945
0.038,0.7728594490194877,0.6399804186360535,0.8104720040912475
0.039,0.7736997851539413,0.6400765200400972,0.8175560864897689
0.04,0.7714373417150273,0.6375386872792173,0.8156300646684952
0.041,0.7788857756340495,0.6316096050118716,0.8195855891637287
0.042,0.7735381820511618,0.6368886903514422,0.818286639594043
0.043000000000000003,0.773621976252603,0.6307700684684232,0.8173807156982977
0.044000000000000004,0.7764034508333856,0.6338843656279215,0.8184706367664782
0.045,0.7706807997820148,0.6398534353435461,0.8142379109216551
0.046,0.7819346298939764,0.6278159021042279,0.8244572914175388
0.047,0.7658365091245753,0.621130477600025,0.812279491359741
0.048,0.7687776855951636,0.6175130207255695,0.8178773844708253
0.049,0.7867546180899236,0.6221708977511604,0.8332402830304495
0.05,0.7720487357369825,0.6217615428351031,0.8216983992294447
0.051000000000000004,0.7758792701903543,0.629674070795848,0.8228904121099392
0.052000000000000005,0.7837507015911975,0.6295293062546083,0.8320701287373721
0.053000000000000005,0.7692343900160622,0.6130355844466926,0.8193525676786567
0.054,0.7688554944965018,0.6140425093478539,0.8190300132995706
0.055,0.7715219456923648,0.6277005155362131,0.8202135776058886
0.056,0.7669265955087792,0.6200973569641842,0.8169168590512991
0.057,0.7627249148365104,0.614499303938358,0.8127246507671579
0.058,0.7764288579522182,0.6324221773015166,0.8243908400845871
0.059000000000000004,0.7764288579522182,0.6334833081002741,0.8243908400845871
0.060000000000000005,0.7786913013911323,0.6307133683104664,0.8263168619058607
0.061,0.7756663307191028,0.6283555186096756,0.8237416993966763
0.062,0.7576402967761138,0.6243116586416226,0.8085758537823335
0.063,0.7685857206973163,0.6342125311533013,0.8115635254641317
0.064,0.7693811190705693,0.635335971698522,0.8070893761566555
0.065,0.7593837090731592,0.6222343679167438,0.800854772187051
0.066,0.7593837090731592,0.6222104254005136,0.800854772187051
0.067,0.7689779210895166,0.6155519332775998,0.8064180020070281
0.068,0.7667992718520438,0.6105518238559932,0.8045633143272831
0.069,0.7572050598356865,0.6163772136285286,0.7959060197638773
0.07,0.7577368233432286,0.6166769065120198,0.7968484370039739
0.07100000000000001,0.7789141177904192,0.6304310208042736,0.8273347658145288
0.07200000000000001,0.7589488466140755,0.6224997741312134,0.8088311951186822
0.07300000000000001,0.7659516477345236,0.6234560829279995,0.8158405640578592
0.074,0.7633659980900503,0.6285392764036491,0.8131213678996279
0.075,0.7773931474113173,0.6331799669876965,0.8280743956427467
0.076,0.7656284415289644,0.6238769997240768,0.8170818241348495
0.077,0.7499994626646914,0.6212412693615819,0.8054074519367368
0.078,0.7479764312298952,0.6267288356402261,0.8040471893696148
0.079,0.7560088932265516,0.6287242698113552,0.8098132327647314
0.08,0.7574094534506413,0.622036284197975,0.8098485272159478
0.081,0.7765271005094647,0.6392874027158998,0.8261234116057103
0.082,0.762583745389639,0.6333507069340284,0.8161080981350872
0.083,0.7660439530020957,0.6300636297976977,0.8190537785676235
0.084,0.7674037335855863,0.6280466285533506,0.821188620052466
0.085,0.7592847275727936,0.6319674990104909,0.8145188851055549
0.08600000000000001,0.7671628788332979,0.6309181676523095,0.8179866508278685
0.08700000000000001,0.7650620384971634,0.6343960875463334,0.8161982019938288
0.08800000000000001,0.7637026712208411,0.6327606341349234,0.8140637123580583
0.089,0.7658813204583138,0.6306443752844924,0.8130040820285777
0.09,0.7700422214899837,0.6374207600469788,0.8136005834889963
0.091,0.7682710875539633,0.6325665227142447,0.8159307526701355
0.092,0.7659651146597551,0.6318000063476763,0.8116914665450041
0.093,0.7653426434490486,0.631556127670959,0.8133781908803204
0.094,0.7591874664461207,0.6292598336419101,0.8071610205351696
0.095,0.7693415280707705,0.6275246510728083,0.8150140762504735
0.096,0.7613090660741142,0.6283533854743123,0.8141429126122941
0.097,0.7596649301588787,0.6311679158839566,0.8098436937862292
0.098,0.7642510303332141,0.624288562115964,0.8114716408018295
0.099,0.7709036913976397,0.6279268578258412,0.8171350621096224
0.1,0.7648962717073557,0.6275327115523919,0.8132251387359596
0.101,0.7695031311735502,0.6293910369703177,0.8163558521286065
0.10200000000000001,0.7557698600873378,0.6277762613676648,0.8081119521947228
0.10300000000000001,0.762260918048984,0.6283356199168015,0.8132247112736044
0.10400000000000001,0.7726250637072474,0.6395980849709243,0.823106419151412
0.10500000000000001,0.7832908684906993,0.6358833185328582,0.8256497956329815
